date,hour,route,distance_km,delay_minutes
2024-06-13,12,B-C,94.32,-3.2
2024-12-25,8,B-D,13.82,5.0
2024-12-05,16,C-D,27.26,1.8
2024-08-16,22,A-B,38.17,-2.6
2024-03-30,16,A-C,15.4,3.1
2024-05-01,19,B-C,51.7,12.3
2024-07-14,8,A-B,51.0,-0.7
2024-04-01,9,A-D,51.37,7.1
2024-06-14,8,A-C,29.17,12.4
2024-02-15,6,A-C,39.79,10.3
2024-05-28,19,B-C,15.59,3.1
2024-05-31,13,B-D,73.04,5.3
2024-05-11,11,A-C,39.25,11.8
2024-12-30,18,B-C,15.33,9.0
2024-06-17,2,A-B,92.23,-3.0
2024-11-25,0,A-B,52.82,-0.7
2024-08-24,22,B-D,39.97,-5
2024-07-22,15,A-C,53.76,-0.9
2024-01-05,21,A-C,71.0,-5
2024-05-30,17,B-C,91.94,3.6
2024-08-23,3,A-B,22.24,-5
2024-09-11,2,A-C,52.27,-5
2024-12-14,6,A-D,27.41,6.5
2024-08-01,18,A-C,39.08,2.0
2024-11-16,4,B-C,25.95,-1.7
2024-10-02,8,C-D,25.43,-5
2024-07-15,8,A-D,91.49,-5
2024-12-14,1,B-C,26.24,5.5
2024-07-13,13,C-D,26.52,1.1
2024-11-29,11,B-D,72.44,-1.1
2024-10-25,4,B-C,91.71,-5
2024-12-05,1,A-D,25.04,-0.8
2024-02-04,13,C-D,91.62,3.0
2024-05-29,6,A-D,22.01,14.8
2024-10-30,19,B-D,39.67,-5
2024-01-30,5,B-D,93.2,8.1
2024-01-26,4,A-B,92.98,9.2
2024-10-14,23,A-C,36.1,4.5
2024-12-11,23,B-C,91.06,-0.8
2024-04-15,16,A-B,35.48,4.9
2024-02-16,1,B-D,21.29,5.2
2024-12-17,13,A-C,90.28,11.2
2024-12-22,4,A-B,22.18,-2.3
2024-10-25,10,A-D,53.6,-3.1
2024-06-07,8,B-C,54.21,12.4
2024-04-28,12,A-B,26.9,15.9
2024-11-24,9,A-C,72.73,0.9
2024-04-04,13,B-C,72.01,11.7
2024-01-20,11,A-B,74.62,16.9
2024-09-26,2,B-C,36.74,-5
2024-09-11,2,A-C,36.4,-5
2024-02-15,6,A-C,36.36,13.2
2024-04-26,18,B-C,14.9,10.5
2024-04-09,4,A-D,25.25,8.1
2024-06-19,11,B-D,36.24,1.4
2024-06-01,2,A-D,52.27,0.1
2024-10-09,3,A-C,51.97,-5
2024-10-23,3,B-D,73.48,-5
2024-07-31,18,B-C,13.87,-2.9
2024-03-27,21,A-B,25.02,4.9
2024-11-26,15,B-C,19.31,-1.0
2024-03-19,15,B-C,52.71,10.6
2024-06-15,14,A-C,20.84,6.6
2024-04-11,9,B-D,51.02,9.1
2024-03-06,7,A-D,92.67,10.4
2024-02-24,1,B-D,93.96,9.2
2024-10-19,6,A-D,71.15,-5
2024-05-15,0,B-D,38.12,2.3
2024-02-26,9,C-D,12.42,2.8
2024-10-31,16,A-D,90.31,-5
2024-05-05,2,C-D,29.91,14.7
2024-12-20,5,B-C,25.42,0.7
2024-08-24,18,A-C,13.59,6.1
2024-01-17,2,A-C,21.67,-2.1
2024-12-13,5,A-C,91.72,0.2
2024-04-22,21,B-C,74.88,10.5
2024-01-02,15,A-B,37.63,-0.8
2024-11-04,20,A-B,22.33,-4.6
2024-01-26,11,B-D,15.25,11.3
2024-09-09,21,A-D,35.67,-5
2024-12-21,9,A-B,72.33,0.9
2024-03-25,13,B-D,93.2,-0.8
2024-09-19,9,A-D,52.66,-5
2024-05-09,7,A-C,20.94,8.3
2024-10-14,7,B-D,54.54,-5
2024-07-19,21,B-D,93.13,-5
2024-06-24,12,B-D,13.14,-4.1
2024-12-05,19,B-D,91.52,-5
2024-06-02,15,C-D,16.75,8.7
2024-07-29,19,B-C,35.73,-5
2024-10-06,6,A-B,26.97,-5
2024-06-20,2,B-C,21.51,1.8
2024-08-14,13,A-D,54.04,1.1
2024-01-22,12,A-C,36.36,9.2
2024-03-18,11,A-C,19.76,12.8
2024-07-20,9,B-D,29.78,-5
2024-09-16,19,A-C,94.15,-3.9
2024-01-01,5,A-B,20.27,6.4
2024-12-02,8,A-D,28.38,9.0
2024-09-20,21,B-D,22.64,-5
2024-05-09,21,B-D,14.57,4.0
2024-05-31,11,B-C,73.55,8.1
2024-12-17,12,C-D,93.38,4.1
2024-07-05,22,A-B,16.38,-4.5
2024-12-15,3,C-D,37.24,-2.0
2024-11-06,23,B-D,16.74,-5
2024-09-04,4,A-B,25.72,-5
2024-01-24,12,A-C,72.95,-0.9
2024-05-23,20,A-C,28.86,12.4
2024-07-27,20,A-B,94.75,-2.3
2024-11-23,12,B-D,71.8,-0.4
2024-10-21,15,A-B,92.66,-5
2024-03-12,6,C-D,94.39,12.7
2024-03-28,21,B-C,14.94,16.4
2024-07-15,11,A-D,19.36,3.3
2024-11-13,10,B-D,35.54,-5
2024-05-13,11,B-D,26.93,10.5
2024-04-14,19,B-D,54.19,6.7
2024-11-22,5,B-C,12.76,-4.6
2024-10-13,21,B-D,90.38,-5
2024-07-19,11,A-D,37.65,-4.5
2024-05-12,14,A-B,14.66,14.2
2024-12-23,18,B-C,28.01,-5
2024-02-05,17,A-B,93.01,20.6
2024-07-30,22,A-B,25.83,0.4
2024-12-20,3,B-D,39.21,7.2
2024-06-23,12,B-D,39.03,-1.2
2024-03-14,17,A-D,52.07,13.8
2024-05-27,4,A-C,28.41,6.5
2024-01-02,18,A-D,20.89,2.3
2024-07-25,6,C-D,71.37,2.7
2024-03-08,4,A-C,74.25,-1.4
2024-05-02,16,A-B,29.49,6.4
2024-11-28,12,B-C,21.24,-5
2024-12-26,12,C-D,28.56,0.5
2024-09-17,8,C-D,22.52,-5
2024-06-07,3,B-C,72.84,5.0
2024-01-12,22,C-D,12.61,0.1
2024-06-15,6,A-B,38.15,5.2
2024-01-31,14,C-D,52.98,7.8
2024-01-17,1,C-D,92.34,-2.7
2024-06-23,10,C-D,51.15,1.6
2024-10-11,6,B-C,94.87,-5
2024-04-24,5,A-B,92.52,2.9
2024-08-05,11,A-B,71.37,-2.1
2024-07-18,16,C-D,36.13,-0.8
2024-01-29,11,C-D,28.29,3.7
2024-10-21,4,B-D,39.85,1.1
2024-12-28,19,B-D,19.71,1.9
2024-05-24,6,A-B,74.49,10.5
2024-01-09,14,A-C,93.52,2.8
2024-10-13,22,B-C,73.93,-3.3
2024-01-12,23,A-D,53.6,5.4
2024-01-07,20,A-D,73.15,2.5
2024-05-15,17,B-C,70.82,-3.7
2024-06-05,3,A-B,70.88,-5
2024-06-30,13,A-B,93.57,0.9
2024-03-19,11,B-D,39.95,2.4
2024-06-21,10,B-D,94.88,5.6
2024-05-08,16,B-D,19.77,0.4
2024-12-02,0,A-C,71.39,-0.8
2024-07-15,5,B-D,18.69,-5
2024-02-26,6,A-D,52.66,17.5
2024-02-14,14,A-B,22.45,7.5
2024-09-30,2,B-C,28.12,-2.8
2024-11-23,6,A-B,19.02,-5
2024-06-30,12,A-B,14.96,2.9
2024-08-21,18,C-D,73.43,-0.3
2024-08-13,2,C-D,73.6,-3.1
2024-11-29,21,A-D,21.58,-5
2024-08-28,22,B-D,50.71,0.1
2024-02-02,22,A-C,94.93,-0.1
2024-04-27,0,B-D,53.94,11.0
2024-11-27,1,A-C,16.54,-5
2024-04-12,0,A-B,35.24,8.7
2024-04-22,21,A-B,53.19,21.3
2024-07-30,8,A-B,20.34,-5
2024-12-29,3,A-C,22.04,1.8
2024-03-24,19,C-D,25.53,10.8
2024-01-02,2,A-B,53.24,-5
2024-02-13,16,C-D,53.06,7.4
2024-12-27,1,A-D,53.08,-5
2024-08-22,12,A-D,14.8,-5
2024-09-16,14,A-C,15.54,-4.0
2024-04-16,21,B-D,15.06,13.9
2024-12-12,3,A-B,71.19,1.3
2024-02-21,2,B-C,26.51,6.5
2024-11-06,18,B-C,90.96,-5
2024-02-10,2,A-B,15.41,5.6
2024-07-16,14,B-D,52.87,-5
2024-04-17,23,A-B,16.19,7.4
2024-12-14,4,B-D,94.39,-3.7
2024-04-02,19,B-C,36.28,15.0
2024-06-27,0,B-C,35.47,8.4
2024-08-14,5,A-D,74.66,-4.7
2024-06-15,8,A-C,14.06,-5
2024-01-11,10,A-C,54.43,6.2
2024-05-02,10,A-B,50.81,4.3
2024-01-19,10,B-D,71.68,5.4
2024-08-22,5,A-C,50.27,-5
2024-12-05,17,A-C,39.66,-5
2024-11-19,2,A-D,19.09,-5
2024-01-07,22,B-C,38.58,4.7
2024-08-12,19,A-D,21.45,-5
2024-05-25,12,A-C,26.29,13.8
2024-04-17,20,B-C,54.82,9.3
2024-11-25,23,C-D,21.28,-5
2024-06-04,2,A-B,70.33,-1.8
2024-01-08,2,B-C,12.71,6.4
2024-09-18,22,B-C,92.25,-3.3
2024-02-21,8,B-C,37.04,6.8
2024-02-18,14,B-C,29.16,-0.1
2024-01-16,12,A-C,16.28,5.1
2024-05-22,19,A-B,90.95,-3.4
2024-02-15,5,A-D,72.93,3.7
2024-03-14,15,A-B,94.91,4.4
2024-07-15,8,A-D,14.85,1.4
2024-01-08,8,A-C,26.82,6.3
2024-03-31,4,B-C,93.69,5.5
2024-12-05,3,A-C,90.83,-0.7
2024-07-13,0,A-C,70.97,-0.6
2024-07-06,7,A-D,36.31,8.1
2024-01-04,1,A-B,71.89,-2.8
2024-08-29,14,B-D,12.55,-3.3
2024-10-11,22,B-D,14.02,-5
2024-04-28,13,B-D,12.59,8.4
2024-02-04,8,B-C,37.35,14.6
2024-02-06,16,A-C,38.72,1.8
2024-10-15,19,B-D,12.3,-5
2024-09-24,5,C-D,91.58,-5
2024-02-21,2,B-D,27.34,16.2
2024-03-08,2,B-D,71.59,3.9
2024-04-15,8,A-D,91.81,23.4
2024-09-03,8,A-C,50.05,7.6
2024-11-30,16,A-B,72.35,-4.4
2024-04-29,15,A-D,50.7,-0.4
2024-07-05,4,B-D,94.43,-1.4
2024-07-07,21,A-D,21.5,0.7
2024-01-09,19,B-D,70.41,1.6
2024-08-12,4,A-C,28.74,-3.7
2024-10-25,6,A-B,35.13,-4.4
2024-09-04,7,A-B,36.87,0.7
2024-09-08,21,A-C,54.53,-5
2024-06-07,14,B-C,22.87,9.5
2024-06-13,1,B-D,19.72,1.8
2024-07-10,5,A-C,94.18,-2.4
2024-03-20,19,B-C,52.27,-0.9
2024-03-11,8,A-C,50.6,6.9
2024-08-01,4,A-C,50.68,-5
2024-03-26,7,B-D,18.4,20.0
2024-08-19,13,B-C,53.31,3.6
2024-05-17,22,B-D,12.26,-5
2024-02-23,0,B-C,13.44,18.3
2024-08-03,2,C-D,39.24,-5
2024-12-05,20,A-D,52.92,-5
2024-09-28,18,A-D,91.85,-2.7
2024-09-24,17,A-C,35.38,1.3
2024-04-02,22,B-C,71.18,3.3
2024-07-06,16,B-C,74.11,-1.4
2024-12-15,15,A-C,71.64,-4.0
2024-01-05,14,B-D,28.39,-1.5
2024-04-02,14,B-C,94.86,-0.4
2024-08-08,2,A-C,52.05,7.6
2024-04-29,11,A-D,71.8,4.0
2024-12-05,15,B-C,22.99,-5
2024-02-27,1,C-D,22.42,-2.8
2024-11-11,13,A-D,14.35,-5
2024-10-04,11,B-C,73.79,-5
2024-06-10,5,B-D,70.09,1.2
2024-07-08,3,A-D,91.46,-4.2
2024-10-08,20,A-C,71.24,-5
2024-07-08,9,A-D,25.82,-5
2024-02-03,19,B-D,93.33,4.6
2024-01-08,19,C-D,38.63,-0.7
2024-05-19,0,A-B,90.02,9.6
2024-01-03,5,A-C,19.33,8.6
2024-12-30,7,A-B,12.57,17.5
2024-03-17,15,B-C,14.61,1.4
2024-06-12,9,B-D,72.39,2.4
2024-02-12,8,A-C,25.46,10.4
2024-11-15,1,A-D,25.66,-2.0
2024-09-13,15,A-C,21.03,-5
2024-10-13,1,A-C,93.46,-5
2024-04-27,9,A-B,92.36,13.5
2024-02-03,18,A-C,21.97,1.0
2024-04-28,19,A-B,93.32,9.1
2024-10-16,13,A-C,12.96,-5
2024-11-20,14,A-C,91.29,-5
2024-08-04,16,C-D,28.62,5.0
2024-04-23,16,B-C,21.2,9.3
2024-12-19,14,C-D,22.51,-0.1
2024-12-05,8,A-C,18.31,4.6
2024-08-25,10,A-D,73.41,-5
2024-07-22,10,C-D,71.53,-5
2024-11-07,10,A-B,25.25,-5
2024-11-18,7,B-D,12.99,-2.6
2024-03-02,16,A-D,54.35,4.3
2024-06-08,2,A-B,70.35,-3.2
2024-07-17,13,B-D,13.26,-4.3
2024-06-11,15,A-D,38.85,-1.1
2024-07-09,17,B-D,94.64,9.5
2024-02-23,14,A-B,74.61,3.0
2024-03-09,1,C-D,18.32,6.8
2024-12-02,2,A-D,91.7,-5
2024-09-23,2,A-C,38.49,-5
2024-01-17,9,A-D,20.65,-5
2024-12-24,2,B-C,22.09,-5
2024-05-02,5,B-D,94.03,3.1
2024-12-28,10,B-C,16.46,-5
2024-02-16,8,A-D,74.52,10.8
2024-08-30,7,A-C,54.05,-3.6
2024-04-13,23,A-C,70.97,1.8
2024-09-08,3,C-D,29.01,-0.4
2024-12-22,4,C-D,26.57,0.1
2024-06-23,21,A-C,72.09,6.2
2024-10-21,11,A-B,93.82,-5
2024-11-06,1,A-B,26.14,-5
2024-07-06,9,B-C,51.76,10.5
2024-07-12,9,A-B,18.06,-5
2024-10-17,7,A-D,90.26,-5
2024-03-28,4,B-C,27.52,5.0
2024-06-06,4,A-C,53.57,9.0
2024-12-09,1,B-C,90.86,-5
2024-12-12,17,A-D,15.97,9.9
2024-10-07,14,B-C,38.91,-5
2024-04-19,23,B-C,26.25,-4.3
2024-02-21,3,B-C,16.52,11.9
2024-11-10,2,B-D,70.26,-5
2024-08-24,20,B-D,29.01,-1.5
2024-11-19,18,B-D,29.5,-3.7
2024-06-08,23,B-C,54.57,-5
2024-09-22,2,B-D,37.08,-5
2024-12-06,7,A-C,19.81,-5
2024-12-22,3,A-D,50.17,10.3
2024-10-29,18,B-D,15.59,-5
2024-09-25,9,C-D,93.72,-5
2024-02-21,7,A-D,54.01,11.6
2024-08-09,5,B-D,73.55,7.2
2024-08-01,6,B-C,29.96,-5
2024-09-08,17,C-D,15.34,-5
2024-03-14,19,B-D,92.81,8.7
2024-11-28,17,A-B,92.85,-4.9
2024-01-28,1,A-C,50.12,-5
2024-12-30,6,C-D,39.66,-0.2
2024-10-13,6,A-C,21.16,-5
2024-11-04,22,B-C,51.38,-5
2024-08-03,6,C-D,72.34,-3.8
2024-06-23,22,A-C,73.91,1.4
2024-10-02,8,A-C,54.11,-4.6
2024-04-13,18,A-D,70.55,14.5
2024-08-24,22,C-D,71.08,-3.2
2024-09-18,1,B-D,14.21,-5
2024-02-14,2,C-D,72.08,4.0
2024-04-20,17,B-C,38.83,13.9
2024-05-05,6,A-C,22.35,2.6
2024-06-07,5,A-D,20.23,8.2
2024-03-13,6,C-D,25.62,5.8
2024-08-13,18,B-D,39.72,3.5
2024-08-29,16,A-C,37.96,-4.6
2024-02-07,11,A-D,39.83,7.7
2024-07-25,3,B-C,72.13,-5
2024-07-19,20,A-C,39.32,4.9
2024-10-20,17,A-B,16.25,-5
2024-11-18,22,A-D,39.76,-5
2024-11-13,9,A-C,53.26,-5
2024-12-17,4,A-D,28.39,-2.3
2024-07-23,10,C-D,53.39,-5
2024-10-08,17,B-D,70.91,7.3
2024-02-29,4,A-B,51.62,-0.1
2024-07-05,16,A-B,27.74,0.3
2024-06-15,20,B-D,13.66,-4.1
2024-05-13,0,B-C,91.94,11.3
2024-07-04,20,C-D,13.38,-5
2024-03-23,22,B-D,12.38,17.6
2024-04-17,1,A-D,90.7,6.1
2024-08-11,8,A-B,74.86,1.7
2024-02-24,4,C-D,54.61,18.0
2024-08-10,6,A-B,72.48,2.2
2024-07-16,13,A-B,74.36,-1.9
2024-06-03,1,A-B,12.8,-4.4
2024-01-20,0,B-C,73.47,6.0
2024-02-24,5,A-C,51.79,12.3
2024-04-11,11,A-B,92.17,4.3
2024-04-29,15,A-B,73.53,9.9
2024-03-30,5,A-C,21.97,1.8
2024-08-16,16,C-D,74.53,-5
2024-08-13,17,C-D,14.26,3.5
2024-06-21,21,B-D,54.72,-4.2
2024-01-25,17,C-D,20.48,5.0
2024-11-26,0,C-D,94.61,-5
2024-12-25,16,A-B,93.99,-5
2024-10-18,12,A-D,72.04,-3.0
2024-09-02,18,C-D,19.58,-5
2024-04-18,21,C-D,90.02,11.0
2024-10-23,22,B-C,28.21,-5
2024-06-21,5,C-D,92.73,-2.6
2024-05-20,2,B-D,93.78,11.3
2024-10-20,13,B-C,52.54,0.7
2024-12-26,0,A-B,53.89,3.3
2024-02-28,19,B-D,39.41,9.7
2024-05-11,2,A-D,38.24,11.8
2024-06-02,6,A-B,71.29,7.8
2024-07-08,6,C-D,54.99,-5
2024-11-27,8,B-D,74.32,2.1
2024-07-24,21,A-D,39.79,7.8
2024-12-13,9,A-B,54.94,0.9
2024-10-03,23,A-D,19.76,-0.9
2024-05-12,16,A-B,37.39,-3.5
2024-02-14,2,A-B,20.32,-3.8
2024-05-28,10,C-D,22.78,6.2
2024-11-26,3,A-D,22.19,-4.7
2024-04-24,15,A-C,26.3,10.9
2024-02-01,7,A-C,51.51,9.3
2024-07-15,17,C-D,94.84,0.9
2024-04-18,3,B-D,39.03,3.5
2024-04-28,20,B-D,39.11,-1.9
2024-04-10,8,A-C,53.42,5.1
2024-03-26,4,B-D,37.47,5.9
2024-05-17,18,B-C,14.77,9.2
2024-03-24,10,A-B,26.9,-0.0
2024-02-27,4,B-D,51.41,2.9
2024-04-01,10,A-B,26.02,14.9
2024-03-04,9,B-D,71.85,9.6
2024-12-22,11,B-D,70.99,-5
2024-12-06,21,A-C,25.94,-1.4
2024-12-29,7,A-D,50.32,7.5
2024-01-06,6,C-D,13.03,-2.2
2024-05-01,21,A-B,71.43,6.8
2024-02-21,6,A-D,53.57,8.1
2024-08-06,2,B-C,29.48,-4.7
2024-12-20,0,C-D,36.75,-3.2
2024-04-02,0,C-D,22.94,0.8
2024-04-24,3,A-C,13.34,12.6
2024-06-14,21,B-D,39.96,-2.7
2024-01-14,2,C-D,93.49,-5
2024-05-18,16,A-C,36.82,10.6
2024-12-04,0,A-B,16.97,-5
2024-03-23,11,A-D,27.76,1.8
2024-07-02,11,B-C,50.71,1.7
2024-10-28,3,A-C,27.51,-4.2
2024-10-21,3,C-D,37.06,-5
2024-01-30,7,B-D,19.18,6.7
2024-01-03,7,B-C,21.87,7.5
2024-08-07,10,B-D,90.21,-5
2024-12-09,1,B-D,51.19,10.4
2024-04-11,2,B-C,15.87,11.1
2024-02-15,10,A-D,14.12,3.1
2024-08-16,7,A-D,18.86,4.0
2024-08-09,10,A-B,72.57,2.2
2024-09-11,3,A-D,73.71,-5
2024-11-16,1,B-C,50.2,1.4
2024-04-07,16,B-D,19.14,10.1
2024-04-17,13,B-C,72.27,8.1
2024-12-25,7,A-D,35.5,9.0
2024-07-27,2,C-D,71.44,-5
2024-12-04,21,B-C,18.19,-0.1
2024-08-01,22,B-D,12.78,2.7
2024-05-14,20,A-B,37.51,9.1
2024-09-07,8,A-C,15.35,-5
2024-05-29,2,C-D,94.46,4.6
2024-03-05,4,A-B,37.19,6.5
2024-04-04,18,A-D,15.95,9.8
2024-02-08,3,B-C,18.27,-3.4
2024-06-27,5,A-D,91.83,-4.3
2024-12-30,8,A-C,37.19,5.6
2024-08-08,7,A-D,21.3,-1.9
2024-05-13,22,A-B,16.04,9.5
2024-03-19,1,B-C,16.37,10.1
2024-10-29,10,A-D,92.8,-1.1
2024-11-25,18,C-D,19.56,-4.1
2024-04-14,15,A-D,25.63,3.1
2024-04-23,19,B-C,72.51,13.5
2024-09-14,0,B-D,38.32,-4.8
2024-05-21,3,A-D,72.23,11.9
2024-07-10,16,B-D,21.52,3.9
2024-10-05,9,B-C,39.15,-5
2024-01-17,8,B-D,28.66,6.8
2024-07-02,22,B-C,36.8,6.2
2024-07-03,23,A-D,22.13,6.0
2024-12-12,8,A-D,28.47,-0.1
2024-05-19,17,A-B,26.8,23.4
2024-09-25,21,B-C,93.98,-4.9
2024-06-23,10,B-D,15.6,0.7
2024-02-22,11,A-C,29.48,2.5
2024-01-23,22,A-C,29.24,7.4
2024-08-03,4,B-C,22.87,-5
2024-04-03,22,A-C,26.4,18.4
2024-06-18,1,A-C,14.14,-3.8
2024-04-08,4,B-C,50.6,13.2
2024-07-22,19,B-C,13.96,-5
2024-04-05,12,A-B,71.86,8.4
2024-12-13,1,C-D,70.94,-5
2024-01-11,18,A-D,53.05,3.4
2024-05-03,7,B-D,53.86,13.6
2024-06-13,3,A-B,51.63,-2.6
2024-09-18,14,A-B,19.06,-5
2024-06-08,13,B-C,16.51,16.2
2024-05-03,20,B-D,19.67,18.5
2024-05-03,12,A-D,14.6,1.9
2024-08-28,22,B-D,39.94,-5
2024-01-28,21,B-D,36.14,-3.7
2024-08-28,17,B-D,22.0,-5
2024-02-23,8,A-D,39.69,13.1
2024-04-18,22,A-B,12.47,4.0
2024-02-16,5,B-C,14.16,0.8
2024-12-25,11,C-D,29.91,-1.0
2024-03-27,3,C-D,52.47,-0.3
2024-04-17,7,B-D,29.24,19.3
2024-11-04,19,C-D,51.37,-5
2024-07-08,3,B-C,74.92,-5
2024-11-24,10,A-C,28.37,-2.0
2024-01-12,11,A-C,35.02,4.0
2024-12-05,6,A-D,52.23,-5
2024-12-26,14,A-C,94.58,1.9
2024-01-30,0,B-D,22.44,1.3
2024-01-22,15,C-D,39.0,8.4
2024-10-04,5,A-B,70.87,-3.7
2024-09-13,4,A-D,53.85,2.4
2024-12-03,16,B-C,27.75,1.0
2024-11-11,3,A-C,26.54,-0.8
2024-12-13,6,C-D,53.94,8.2
2024-12-09,14,A-D,91.6,-5
2024-03-05,11,B-D,37.75,8.3
2024-02-24,2,C-D,50.17,8.3
2024-12-18,16,A-D,19.34,0.5
2024-09-23,0,A-B,54.45,-5
2024-08-13,2,A-D,37.66,-2.8
2024-11-20,10,C-D,12.66,-5
2024-07-09,2,A-B,15.12,1.4
2024-05-29,21,B-C,29.6,6.7
2024-02-14,6,B-D,53.98,2.9
2024-01-31,23,B-C,19.54,17.5
2024-12-04,17,B-D,53.0,3.9
2024-10-04,14,B-D,94.03,-5
2024-04-10,7,B-C,28.72,13.1
2024-12-21,9,B-D,13.12,-5
2024-04-21,14,B-C,37.55,6.1
2024-12-28,11,B-D,18.8,-0.3
2024-09-11,23,A-D,35.78,-5
2024-04-04,15,C-D,21.93,1.7
2024-04-11,20,A-D,19.77,8.9
2024-05-21,11,A-D,14.41,2.7
2024-07-11,18,C-D,91.09,1.2
2024-06-03,8,A-C,52.76,6.8
2024-10-15,20,A-C,73.89,-5
2024-12-13,13,B-D,39.17,9.2
2024-08-11,6,A-B,20.06,-5
2024-04-23,20,B-D,36.39,7.2
2024-02-21,5,A-D,54.2,10.5
2024-04-08,14,A-D,52.43,14.7
2024-02-20,0,A-C,35.19,7.0
2024-10-02,13,A-C,93.91,-5
2024-06-05,20,A-D,51.14,-4.4
2024-07-09,3,B-D,90.33,-5.0
2024-11-25,5,A-D,25.77,-5
2024-02-21,1,C-D,94.49,3.2
2024-04-11,7,A-C,13.28,13.2
2024-04-03,8,A-B,29.59,6.9
2024-04-24,11,A-C,94.39,-1.3
2024-01-05,3,B-C,70.54,5.9
2024-12-22,15,A-B,19.05,8.7
2024-07-29,20,C-D,36.12,-1.5
2024-08-01,2,C-D,92.56,-5
2024-09-28,15,B-C,22.14,-5
2024-07-27,6,A-D,14.8,-5
2024-05-05,17,C-D,90.59,11.5
2024-12-16,11,B-D,12.07,-5
2024-04-08,15,A-C,91.5,1.9
2024-12-30,20,A-D,18.71,-0.4
2024-05-31,0,B-D,38.6,4.3
2024-09-23,19,A-C,25.34,-5
2024-01-23,9,B-C,92.73,3.8
2024-03-24,3,A-B,73.21,13.0
2024-07-07,22,A-C,51.97,-1.0
2024-09-13,23,B-D,12.59,-5
2024-08-15,12,A-B,39.63,-4.1
2024-07-13,6,B-C,38.23,1.3
2024-10-11,8,A-B,50.21,-5
2024-08-17,8,A-C,20.2,-2.4
2024-03-19,19,C-D,20.13,3.0
2024-05-19,7,A-B,50.08,15.6
2024-12-05,9,C-D,38.55,0.7
2024-02-02,3,A-B,36.51,4.0
2024-07-11,11,A-C,92.37,-2.6
2024-01-09,0,A-C,51.11,3.5
2024-04-09,19,C-D,12.68,9.2
2024-08-01,14,B-C,51.2,-3.1
2024-02-19,17,A-D,36.53,7.5
2024-01-30,3,A-B,35.32,1.2
2024-05-22,21,B-D,25.93,-2.5
2024-08-11,0,B-C,37.93,-5
2024-11-24,16,A-B,16.01,-0.1
2024-09-10,10,A-C,25.57,-5
2024-06-06,11,A-C,39.57,2.9
2024-09-19,8,C-D,54.46,9.5
2024-05-11,19,A-C,22.99,5.2
2024-11-27,4,C-D,12.4,-1.9
2024-05-12,22,C-D,20.0,3.2
2024-03-30,22,A-D,13.5,9.2
2024-11-24,20,C-D,72.1,-5
2024-04-07,12,B-D,72.12,1.4
2024-11-28,9,B-D,72.85,2.4
2024-09-20,12,A-C,39.75,2.3
2024-10-11,14,A-B,90.41,-5
2024-12-15,23,A-B,72.79,0.6
2024-05-17,14,B-D,26.56,10.6
2024-07-07,5,C-D,70.88,9.9
2024-09-28,6,B-D,29.32,-1.3
2024-09-25,4,A-C,72.75,2.9
2024-05-27,9,A-B,26.03,3.1
2024-01-07,13,A-C,37.33,-5
2024-01-01,3,A-C,36.26,3.2
2024-01-13,18,A-B,38.55,-1.4
2024-05-06,14,B-C,22.85,3.0
2024-07-09,18,A-B,90.62,2.6
2024-12-30,18,A-D,37.75,2.0
2024-07-23,4,C-D,36.33,-5
2024-12-28,18,A-D,71.68,5.0
2024-08-10,6,B-C,53.41,1.6
2024-09-16,3,A-B,26.27,-5
2024-11-26,8,A-D,29.69,-0.3
2024-08-24,14,C-D,29.6,-5
2024-12-18,19,A-C,90.57,-2.1
2024-12-27,4,A-C,19.05,-5
2024-12-07,10,A-C,29.98,-5
2024-11-19,5,A-B,20.23,-1.6
2024-02-04,14,A-B,16.42,4.2
2024-02-14,13,A-C,90.69,-1.5
2024-01-26,18,B-D,19.7,2.2
2024-01-30,20,C-D,13.62,-0.6
2024-11-06,13,A-C,19.68,-3.8
2024-01-29,13,B-D,72.47,4.0
2024-07-10,3,C-D,37.9,4.6
2024-05-13,13,C-D,14.5,6.4
2024-09-26,12,A-B,35.49,-5
2024-08-09,16,C-D,12.58,-5
2024-11-02,15,B-C,15.03,-5
2024-12-08,0,B-D,19.76,0.9
2024-08-27,12,A-B,28.14,-5
2024-06-06,17,A-C,92.83,5.1
2024-10-16,21,A-B,37.3,-5
2024-03-15,19,A-D,36.52,4.6
2024-09-30,1,A-D,29.73,-2.7
2024-12-25,1,A-C,16.55,-0.3
2024-03-25,8,A-C,71.91,12.3
2024-09-27,19,B-C,52.93,1.3
2024-02-21,7,B-D,54.43,12.5
2024-08-17,5,C-D,91.44,-5
2024-07-08,0,C-D,28.98,1.9
2024-01-01,12,C-D,74.64,1.1
2024-02-02,10,B-C,12.78,7.7
2024-12-24,1,C-D,16.27,3.0
2024-08-23,16,A-C,39.1,-4.6
2024-03-19,9,A-C,12.27,4.0
2024-05-12,3,A-C,92.19,-4.8
2024-06-16,4,A-C,28.53,0.5
2024-07-20,21,A-C,93.38,-5
2024-11-05,17,A-C,21.07,-0.0
2024-07-09,4,A-C,73.49,-2.6
2024-06-05,0,B-C,25.49,0.7
2024-05-24,21,B-D,94.08,6.4
2024-06-27,12,A-C,19.04,2.9
2024-01-04,2,A-D,35.42,0.7
2024-07-28,20,B-D,12.16,5.2
2024-06-23,6,A-C,53.94,-1.3
2024-09-29,11,A-D,90.64,-5
